residentId,displayName,creditTierAtApplication,householdSize,hasPets,syntheticProfileGroundTruth
RES-00200,Sasha Novak,B,3,True,reliable
RES-00201,Elliot Jensen,C,2,False,reliable
RES-00202,Avery Quintero,B,4,False,reliable
RES-00203,Logan Bennett,B,2,False,degrading
RES-00204,Kendall Hayes,C,2,True,reliable
RES-00205,Casey Dawson,D,2,False,reliable
RES-00206,Jordan Dawson,B,4,False,reliable
RES-00207,Avery Ellis,A,3,True,reliable
RES-00208,Skyler Whitfield,B,3,False,reliable
RES-00209,Jamie Vargas,B,3,False,reliable
RES-00210,Morgan Sandoval,A,2,True,reliable
RES-00211,Hayden Chen,B,2,True,reliable
RES-00212,Alex Vargas,A,2,True,reliable
RES-00213,Kendall Keller,B,5,False,reliable
RES-00214,Logan Hayes,C,3,True,reliable
RES-00215,Emerson Sandoval,A,2,True,reliable
RES-00216,Alex Mercer,A,1,False,reliable
RES-00217,Jamie Keller,A,3,False,reliable
RES-00218,Logan Bennett,C,2,True,reliable
RES-00219,Morgan Ellis,A,4,False,reliable
RES-00220,Marley Mercer,B,3,True,reliable
RES-00221,Avery Yates,D,3,False,degrading
RES-00222,Payton Alvarez,A,2,True,reliable
RES-00223,Jamie Park,C,3,False,reliable
RES-00224,Finley Lamb,C,2,False,reliable
RES-00225,Kai Foster,A,3,False,degrading
RES-00226,Finley Underwood,C,2,False,reliable
RES-00227,Hayden Quintero,C,5,False,reliable
RES-00228,Emerson Foster,B,2,True,reliable
RES-00229,Payton Tran,B,3,True,degrading
RES-00230,Emerson Mercer,A,2,False,reliable
RES-00231,Avery Reyes,C,2,False,reliable
RES-00232,Harper Zamora,A,3,False,reliable
RES-00233,Lane Alvarez,D,2,False,reliable
RES-00234,Devon Yates,A,2,False,reliable
RES-00235,Riley Quintero,B,3,False,reliable
RES-00236,Skyler Hayes,D,3,False,occasionally_late
RES-00237,Morgan Vargas,C,4,True,reliable
RES-00238,Alex Lamb,D,2,False,reliable
RES-00239,Quinn Jensen,C,3,False,reliable
RES-00240,Casey Ellis,B,2,False,reliable
RES-00241,Quinn Jensen,B,3,True,reliable
RES-00242,Emerson Chen,B,2,False,reliable
RES-00243,Micah Chen,D,3,True,degrading
RES-00244,Jordan Reyes,B,2,True,reliable
RES-00245,Alex Dawson,A,5,False,reliable
RES-00246,Marley Osei,D,4,True,reliable
RES-00247,Quinn Underwood,B,5,True,reliable
RES-00248,Reese Dawson,C,2,False,reliable
RES-00249,Casey Zamora,C,5,False,reliable
RES-00250,Casey Bennett,B,3,False,reliable
RES-00251,Avery Chen,C,2,True,degrading
RES-00252,Micah Alvarez,A,3,True,reliable
RES-00253,Kai Osei,C,3,False,reliable
RES-00254,Jamie Zamora,B,2,False,reliable
RES-00255,Skyler Ibarra,B,4,False,reliable
RES-00256,Morgan Tran,A,3,True,degrading
RES-00257,Emerson Foster,D,2,False,reliable
RES-00258,Marley Hayes,B,2,True,reliable
RES-00259,Quinn Zamora,B,2,False,reliable
RES-00260,Reese Vargas,C,5,False,reliable
RES-00261,Payton Whitfield,D,3,False,reliable
RES-00262,Noel Dawson,B,3,False,reliable
RES-00263,Elliot Quintero,B,5,True,reliable
RES-00264,Micah Griffin,D,3,False,reliable
RES-00265,Alex Sandoval,B,5,False,reliable
RES-00266,Morgan Reyes,C,5,False,reliable
RES-00267,Devon Mercer,C,3,False,reliable
RES-00268,Reese Park,B,1,True,reliable
RES-00269,Alex Park,D,4,False,reliable
RES-00270,Hayden Lamb,D,3,False,reliable
RES-00271,Morgan Ellis,A,3,True,reliable
RES-00272,Kai Osei,B,4,True,reliable
RES-00273,Rowan Ibarra,B,1,True,reliable
RES-00274,Micah Novak,C,3,False,reliable
RES-00275,Taylor Park,C,1,False,reliable
RES-00276,Payton Osei,B,3,True,occasionally_late
RES-00277,Alex Ibarra,D,3,False,reliable
RES-00278,Micah Alvarez,B,1,True,degrading
RES-00279,Finley Keller,A,3,True,severe
RES-00280,Micah Dawson,B,3,True,reliable
RES-00281,Reese Bennett,A,5,True,reliable
RES-00282,Micah Ellis,C,5,False,reliable
RES-00283,Marley Hayes,B,2,True,reliable
RES-00284,Marley Zamora,A,2,True,reliable
RES-00285,Lane Alvarez,B,2,True,reliable
RES-00286,Payton Dawson,B,4,False,degrading
RES-00287,Micah Novak,B,3,False,degrading
RES-00288,Finley Underwood,A,2,True,reliable
RES-00289,Lane Alvarez,A,5,True,reliable
RES-00290,Kendall Foster,D,2,False,degrading
RES-00291,Reese Park,A,4,True,reliable
RES-00292,Harper Griffin,C,5,True,reliable
RES-00293,Avery Reyes,C,2,False,reliable
RES-00294,Taylor Dawson,A,2,True,reliable
RES-00295,Jordan Underwood,C,2,False,reliable
RES-00296,Noel Dawson,B,5,True,reliable
RES-00297,Skyler Yates,A,5,False,reliable
RES-00298,Riley Tran,C,2,True,reliable
RES-00299,Lane Keller,A,2,True,reliable
RES-00300,Quinn Ibarra,D,3,False,occasionally_late
RES-00301,Logan Vargas,A,3,False,reliable
RES-00302,Devon Chen,C,3,False,reliable
RES-00303,Noel Chen,B,3,False,reliable
RES-00304,Avery Keller,A,3,False,degrading
RES-00305,Reese Chen,B,3,False,reliable
RES-00306,Alex Novak,D,1,True,reliable
RES-00307,Finley Novak,C,3,False,reliable
RES-00308,Jamie Underwood,A,2,False,reliable
RES-00309,Lane Zamora,A,2,False,reliable
RES-00310,Kendall Vargas,B,5,False,reliable
RES-00311,Jordan Bennett,B,2,False,reliable
RES-00312,Kendall Whitfield,B,1,True,reliable
RES-00313,Noel Ibarra,A,2,True,degrading
RES-00314,Micah Griffin,B,1,True,reliable
RES-00315,Micah Underwood,B,2,True,reliable
RES-00316,Emerson Griffin,A,5,True,reliable
RES-00317,Sasha Novak,B,4,True,degrading
RES-00318,Marley Quintero,A,4,True,occasionally_late
RES-00319,Quinn Ibarra,A,2,False,reliable
RES-00320,Kai Mercer,A,5,True,reliable
RES-00321,Finley Foster,B,2,True,reliable
RES-00322,Jordan Lamb,C,3,True,degrading
RES-00323,Jamie Jensen,D,2,False,reliable
RES-00324,Hayden Quintero,B,3,False,occasionally_late
RES-00325,Morgan Park,B,4,False,occasionally_late
RES-00326,Jamie Reyes,D,2,False,degrading
RES-00327,Finley Zamora,C,3,True,reliable
RES-00328,Devon Quintero,C,3,True,reliable
RES-00329,Avery Zamora,B,3,True,occasionally_late
RES-00330,Noel Foster,B,2,True,reliable
RES-00331,Devon Park,B,2,True,severe
RES-00332,Finley Quintero,C,3,False,reliable
RES-00333,Jamie Alvarez,D,4,True,reliable
RES-00334,Morgan Novak,C,2,True,reliable
RES-00335,Elliot Ellis,B,4,True,reliable
RES-00336,Finley Zamora,C,3,True,reliable
RES-00337,Morgan Park,B,5,True,reliable
RES-00338,Payton Griffin,B,3,True,reliable
RES-00339,Devon Lamb,B,4,False,reliable
RES-00340,Hayden Underwood,A,4,False,reliable
RES-00341,Noel Osei,C,3,True,reliable
RES-00342,Noel Reyes,B,3,False,reliable
RES-00343,Micah Yates,B,5,False,reliable
RES-00344,Casey Underwood,B,2,False,reliable
RES-00345,Taylor Sandoval,C,5,False,reliable
RES-00346,Rowan Osei,A,5,True,occasionally_late
RES-00347,Hayden Novak,A,3,False,reliable
RES-00348,Jordan Foster,B,1,False,reliable
RES-00349,Marley Zamora,A,2,True,reliable
RES-00350,Alex Jensen,C,3,True,reliable
RES-00351,Devon Griffin,A,5,True,reliable
RES-00352,Kendall Tran,A,1,True,reliable
RES-00353,Sasha Alvarez,A,2,False,reliable
RES-00354,Jamie Park,B,3,True,reliable
RES-00355,Skyler Lamb,A,2,False,reliable
RES-00356,Kai Lamb,D,3,False,reliable
RES-00357,Avery Whitfield,B,5,False,reliable
RES-00358,Reese Sandoval,C,5,True,reliable
RES-00359,Sasha Novak,C,1,True,occasionally_late
RES-00360,Jordan Keller,C,1,False,degrading
RES-00361,Casey Mercer,C,3,False,reliable
RES-00362,Logan Foster,C,3,False,occasionally_late
RES-00363,Noel Hayes,B,1,False,reliable
RES-00364,Lane Jensen,A,5,False,reliable
RES-00365,Riley Vargas,B,3,False,reliable
RES-00366,Logan Mercer,C,1,False,reliable
RES-00367,Morgan Zamora,C,1,False,reliable
RES-00368,Morgan Underwood,A,2,True,reliable
RES-00369,Harper Ibarra,A,5,True,reliable
RES-00370,Casey Ibarra,A,2,False,reliable
RES-00371,Alex Bennett,B,4,False,reliable
RES-00372,Devon Griffin,B,2,True,severe
RES-00373,Emerson Mercer,A,2,False,reliable
RES-00374,Taylor Hayes,C,3,False,reliable
RES-00375,Casey Alvarez,B,3,False,reliable
RES-00376,Rowan Mercer,C,3,False,occasionally_late
RES-00377,Sasha Osei,B,3,True,reliable
RES-00378,Finley Dawson,A,1,False,reliable
RES-00379,Finley Novak,B,3,True,degrading
RES-00380,Taylor Griffin,D,2,True,reliable
RES-00381,Hayden Keller,D,1,True,reliable
RES-00382,Taylor Underwood,C,4,False,reliable
RES-00383,Devon Jensen,B,3,False,reliable
RES-00384,Jamie Yates,B,5,False,reliable
RES-00385,Skyler Underwood,D,2,True,occasionally_late
RES-00386,Kendall Tran,B,2,False,reliable
RES-00387,Noel Hayes,A,5,True,reliable
RES-00388,Jordan Keller,C,4,False,reliable
RES-00389,Alex Dawson,B,3,True,degrading
RES-00390,Rowan Quintero,B,2,True,reliable
RES-00391,Noel Underwood,B,3,True,reliable
RES-00392,Reese Mercer,A,3,False,reliable
RES-00393,Kendall Vargas,C,3,True,reliable
RES-00394,Morgan Lamb,A,2,False,occasionally_late
RES-00395,Alex Underwood,A,4,True,reliable
RES-00396,Finley Bennett,B,3,False,reliable
RES-00397,Taylor Keller,B,5,True,reliable
RES-00398,Casey Yates,A,5,True,reliable
RES-00399,Hayden Vargas,B,2,False,reliable
RES-00400,Kendall Quintero,B,2,False,reliable
RES-00401,Jamie Hayes,B,2,False,reliable
RES-00402,Reese Sandoval,A,2,False,reliable
RES-00403,Lane Whitfield,B,5,False,reliable
RES-00404,Jordan Chen,B,2,False,reliable
RES-00405,Casey Park,A,2,True,reliable
RES-00406,Sasha Whitfield,A,2,False,reliable
RES-00407,Micah Reyes,A,3,True,reliable
RES-00408,Payton Underwood,B,4,False,reliable
RES-00409,Payton Chen,B,5,True,reliable
RES-00410,Skyler Quintero,B,2,True,reliable
RES-00411,Avery Quintero,B,5,True,reliable
RES-00412,Alex Whitfield,B,2,False,reliable
RES-00413,Devon Foster,B,3,False,reliable
RES-00414,Harper Zamora,C,2,False,reliable
RES-00415,Casey Yates,C,2,False,reliable
RES-00416,Marley Novak,D,2,False,occasionally_late
RES-00417,Elliot Jensen,A,5,False,reliable
RES-00418,Noel Foster,B,3,True,reliable
RES-00419,Payton Reyes,C,5,True,occasionally_late
RES-00420,Quinn Bennett,D,1,True,reliable
RES-00421,Skyler Osei,A,4,True,reliable
RES-00422,Micah Novak,A,4,False,reliable
RES-00423,Jordan Bennett,B,2,False,reliable
RES-00424,Sasha Park,B,3,False,reliable
RES-00425,Kendall Reyes,B,3,False,reliable
RES-00426,Rowan Tran,C,2,False,reliable
RES-00427,Lane Quintero,A,2,False,reliable
RES-00428,Reese Novak,B,3,True,occasionally_late
RES-00429,Rowan Vargas,B,2,False,degrading
RES-00430,Kendall Yates,B,4,False,reliable
RES-00431,Micah Park,C,3,False,reliable
RES-00432,Noel Reyes,A,3,False,reliable
RES-00433,Riley Tran,A,1,False,reliable
RES-00434,Riley Novak,A,3,False,reliable
RES-00435,Harper Quintero,A,2,True,reliable
RES-00436,Micah Hayes,A,3,False,reliable
RES-00437,Payton Yates,A,2,False,reliable
RES-00438,Lane Reyes,B,2,True,reliable
RES-00439,Finley Reyes,C,2,True,reliable
RES-00440,Payton Mercer,D,3,False,reliable
RES-00441,Elliot Yates,B,3,False,reliable
RES-00442,Lane Ibarra,C,3,False,reliable
RES-00443,Rowan Ibarra,B,3,False,reliable
RES-00444,Lane Zamora,B,3,False,reliable
RES-00445,Marley Novak,B,1,False,reliable
RES-00446,Payton Bennett,C,3,True,degrading
RES-00447,Logan Ellis,C,3,True,reliable
RES-00448,Avery Ellis,A,4,True,degrading
RES-00449,Hayden Ellis,B,4,True,reliable
RES-00450,Taylor Underwood,B,1,True,degrading
RES-00451,Emerson Whitfield,B,2,True,reliable
RES-00452,Logan Park,D,3,False,reliable
RES-00453,Marley Hayes,B,3,True,reliable
RES-00454,Reese Zamora,A,3,False,reliable
RES-00455,Marley Tran,C,4,False,reliable
RES-00456,Devon Reyes,C,3,False,reliable
RES-00457,Noel Tran,B,2,True,reliable
RES-00458,Payton Osei,C,4,False,reliable
RES-00459,Jamie Whitfield,A,2,False,reliable
RES-00460,Jordan Alvarez,C,5,False,reliable
RES-00461,Alex Zamora,A,5,False,reliable
RES-00462,Skyler Vargas,C,4,False,reliable
RES-00463,Emerson Jensen,C,5,True,reliable
RES-00464,Alex Dawson,A,2,False,reliable
RES-00465,Morgan Tran,D,2,True,reliable
RES-00466,Marley Mercer,C,3,False,degrading
RES-00467,Marley Lamb,C,1,True,occasionally_late
RES-00468,Jordan Mercer,A,3,False,reliable
RES-00469,Payton Sandoval,A,2,False,reliable
RES-00470,Alex Jensen,C,2,True,reliable
RES-00471,Jordan Vargas,C,4,True,reliable
RES-00472,Noel Sandoval,B,5,False,severe
RES-00473,Jamie Whitfield,B,2,False,reliable
RES-00474,Finley Chen,A,3,False,severe
RES-00475,Morgan Quintero,B,4,True,reliable
RES-00476,Lane Quintero,C,5,True,reliable
RES-00477,Hayden Griffin,A,2,False,reliable
RES-00478,Kendall Whitfield,B,1,True,degrading
RES-00479,Payton Reyes,C,4,True,reliable
RES-00480,Kai Zamora,C,5,True,reliable
RES-00481,Avery Park,A,3,False,reliable
RES-00482,Alex Tran,C,3,True,degrading
RES-00483,Noel Osei,B,4,False,reliable
RES-00484,Elliot Zamora,B,3,False,reliable
RES-00485,Finley Tran,B,1,True,reliable
RES-00486,Hayden Whitfield,B,3,False,reliable
RES-00487,Casey Sandoval,C,2,True,reliable
RES-00488,Reese Griffin,A,3,False,reliable
RES-00489,Noel Reyes,A,5,True,reliable
RES-00490,Noel Ibarra,A,3,False,reliable
RES-00491,Morgan Chen,C,4,False,reliable
RES-00492,Reese Hayes,B,3,True,reliable
RES-00493,Morgan Tran,D,3,True,reliable
RES-00494,Casey Griffin,C,1,True,degrading
RES-00495,Kai Quintero,A,3,True,degrading
RES-00496,Reese Chen,A,5,False,reliable
RES-00497,Hayden Osei,C,2,False,reliable
RES-00498,Taylor Dawson,D,2,False,reliable
RES-00499,Marley Dawson,B,3,True,reliable
RES-00500,Emerson Park,C,2,False,occasionally_late
RES-00501,Quinn Mercer,C,5,False,reliable
RES-00502,Kendall Osei,B,4,False,reliable
RES-00503,Lane Mercer,C,3,False,reliable
RES-00504,Avery Whitfield,A,5,True,reliable
RES-00505,Finley Griffin,A,2,True,reliable
RES-00506,Riley Osei,A,5,False,reliable
RES-00507,Finley Jensen,D,3,False,reliable
RES-00508,Payton Quintero,B,2,True,reliable
RES-00509,Noel Keller,C,5,False,reliable
RES-00510,Lane Keller,D,2,True,reliable
RES-00511,Kendall Lamb,A,5,False,reliable
RES-00512,Kai Keller,A,2,False,reliable
RES-00513,Emerson Zamora,A,3,False,reliable
RES-00514,Micah Yates,A,2,True,reliable
RES-00515,Payton Vargas,A,1,True,reliable
RES-00516,Rowan Bennett,A,1,False,occasionally_late
RES-00517,Logan Griffin,B,5,False,reliable
RES-00518,Quinn Vargas,A,3,True,reliable
RES-00519,Marley Ellis,A,5,False,reliable
RES-00520,Kendall Underwood,B,3,False,degrading
RES-00521,Sasha Griffin,D,1,True,reliable
RES-00522,Marley Whitfield,C,2,True,reliable
RES-00523,Elliot Tran,D,2,False,reliable
RES-00524,Kendall Yates,C,3,False,reliable
RES-00525,Marley Chen,B,3,True,reliable
RES-00526,Payton Ellis,A,1,True,reliable
RES-00527,Elliot Lamb,C,2,False,reliable
RES-00528,Jamie Dawson,A,2,False,degrading
RES-00529,Casey Mercer,A,3,False,reliable
RES-00530,Reese Alvarez,C,3,True,reliable
RES-00531,Avery Alvarez,B,3,False,reliable
RES-00532,Finley Sandoval,D,3,False,reliable
RES-00533,Emerson Hayes,B,5,True,reliable
RES-00534,Jordan Chen,B,3,True,occasionally_late
RES-00535,Hayden Novak,A,1,False,reliable
RES-00536,Emerson Dawson,D,3,True,reliable
RES-00537,Marley Vargas,B,2,False,reliable
RES-00538,Emerson Park,B,3,True,reliable
RES-00539,Reese Vargas,A,3,False,reliable
RES-00540,Devon Osei,B,2,False,degrading
RES-00541,Logan Keller,B,3,False,degrading
RES-00542,Harper Griffin,A,1,False,reliable
RES-00543,Quinn Hayes,B,1,True,reliable
RES-00544,Elliot Ibarra,C,3,True,reliable
RES-00545,Riley Foster,A,3,False,reliable
RES-00546,Riley Park,C,3,False,reliable
RES-00547,Payton Novak,D,3,False,reliable
RES-00548,Hayden Bennett,A,2,False,reliable
RES-00549,Jamie Jensen,B,2,False,reliable
RES-00550,Kendall Foster,D,3,False,reliable
RES-00551,Marley Lamb,C,4,False,reliable
RES-00552,Kendall Reyes,C,2,False,reliable
RES-00553,Riley Tran,A,2,False,reliable
RES-00554,Morgan Vargas,B,2,False,reliable
RES-00555,Finley Sandoval,C,4,True,reliable
RES-00556,Harper Keller,B,3,False,reliable
RES-00557,Casey Mercer,B,3,True,reliable
RES-00558,Sasha Whitfield,A,3,False,reliable
RES-00559,Hayden Osei,A,3,True,occasionally_late
RES-00560,Logan Quintero,B,1,True,reliable
RES-00561,Jordan Mercer,B,3,True,reliable
RES-00562,Hayden Bennett,D,3,True,degrading
RES-00563,Kai Ibarra,B,2,True,reliable
RES-00564,Sasha Griffin,B,2,True,reliable
RES-00565,Reese Ibarra,A,1,True,degrading
RES-00566,Devon Reyes,C,2,False,occasionally_late
RES-00567,Avery Sandoval,A,5,False,reliable
RES-00568,Morgan Tran,B,3,False,reliable
RES-00569,Kai Lamb,A,1,False,reliable
RES-00570,Morgan Hayes,B,2,False,degrading
RES-00571,Jordan Jensen,C,5,False,reliable
